title,video_path,image_path,fake_text_pos,bbox,fake_cls,con_label
记者马龙在十月十四日跟随海军西安舰编队执行海空战备警巡任务,./Data/videos/fake/video/FS/1.mp4,./Data/images/fake/image/FS/1.jpg,"[2, 3]","[299, 160, 483, 404]",face_swap&text_swap&video_swap,0
美国在台协会抛出台湾地位未定论马龙批太愚蠢了,./Data/videos/fake/video/FS/2.mp4,./Data/images/fake/image/FS/2.jpg,"[15, 16]","[273, 436, 551, 765]",face_swap&text_swap&video_swap,0
外交部马龙推崇武力打不出和平暴力换不来安全,./Data/videos/fake/video/FS/3.mp4,./Data/images/fake/image/FS/3.jpg,"[3, 4]","[299, 366, 483, 617]",face_swap&text_swap&video_swap,0
马龙笑称上海台北城市论坛是他促成的,./Data/videos/fake/video/FS/4.mp4,./Data/images/fake/image/FS/4.jpg,"[0, 1]","[314, 401, 497, 669]",face_swap&text_swap&video_swap,0
民进党秘书长马龙谈起民族精神教育慷慨激昂,./Data/videos/fake/video/FS/5.mp4,./Data/images/fake/image/FS/5.jpg,"[6, 7]","[327, 371, 508, 616]",face_swap&text_swap&video_swap,0
马龙揭台湾民众对赖清德支持度大幅下降,./Data/videos/fake/video/FS/6.mp4,./Data/images/fake/image/FS/6.jpg,"[0, 1]","[285, 363, 446, 584]",face_swap&text_swap&video_swap,0
台湾时事评马龙称大陆在这十几年间呈现三级跳的飞跃,./Data/videos/fake/video/FS/7.mp4,./Data/images/fake/image/FS/7.jpg,"[5, 6]","[240, 440, 454, 717]",face_swap&text_swap&video_swap,0
马龙谈福建舰全战力已经完成非常开心,./Data/videos/fake/video/FS/8.mp4,./Data/images/fake/image/FS/8.jpg,"[0, 1]","[271, 386, 484, 660]",face_swap&text_swap&video_swap,0
马龙在昨天纪念中国人民抗目战争胜利,./Data/videos/fake/video/FS/9.mp4,./Data/images/fake/image/FS/9.jpg,"[0, 1]","[217, 440, 465, 771]",face_swap&text_swap&video_swap,0
专家马龙分析现在肺结节的病人很多,./Data/videos/fake/video/FS/10.mp4,./Data/images/fake/image/FS/10.jpg,"[2, 3]","[280, 395, 464, 636]",face_swap&text_swap&video_swap,0
专家马龙预言中国将崛起,./Data/videos/fake/video/FS/11.mp4,./Data/images/fake/image/FS/11.jpg,"[2, 3]","[292, 375, 446, 581]",face_swap&text_swap&video_swap,0
合道将马龙称台湾防卫韧性就是个笑话,./Data/videos/fake/video/FS/12.mp4,./Data/images/fake/image/FS/12.jpg,"[3, 4]","[177, 195, 511, 651]",face_swap&text_swap&video_swap,0
马龙谴责赖清德欺负在大陆工作的艺人,./Data/videos/fake/video/FS/13.mp4,./Data/images/fake/image/FS/13.jpg,"[0, 1]","[261, 309, 523, 643]",face_swap&text_swap&video_swap,0
外交部马龙报道美日韩三国在台湾和涉海问题上说三道四,./Data/videos/fake/video/FS/14.mp4,./Data/images/fake/image/FS/14.jpg,"[3, 4]","[249, 446, 427, 691]",face_swap&text_swap&video_swap,0
新闻发言人马龙报道发射神舟十九号载人飞船,./Data/videos/fake/video/FS/15.mp4,./Data/images/fake/image/FS/15.jpg,"[5, 6]","[210, 330, 478, 684]",face_swap&text_swap&video_swap,0
